,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
26-Apr-16,8.997512184,8.120966279,9.262557989
27-Apr-16,8.999644032,8.123050739,9.264615466
28-Apr-16,8.983706988,8.107885711,9.249937937
29-Apr-16,8.983926479,8.108210905,9.250149374
02-May-16,8.981206414,8.106562766,9.248855067
03-May-16,8.973593463,8.099074362,9.242038632
04-May-16,8.966071494,8.091455986,9.234230712
05-May-16,8.969923492,8.094891134,9.237130296
06-May-16,8.969619491,8.095205331,9.237166317
09-May-16,8.985998603,8.110607456,9.252312105
10-May-16,8.988323686,8.112692618,9.254363956
11-May-16,8.983429734,8.108394533,9.250486618
12-May-16,8.990985883,8.115903355,9.258170075
13-May-16,8.980235144,8.106475312,9.249516853
16-May-16,8.985676916,8.111454046,9.254031846
17-May-16,8.988986468,8.114531151,9.257059822
18-May-16,8.98668544,8.112620685,9.255585211
19-May-16,8.974772457,8.100841034,9.244015931
20-May-16,8.970799364,8.096540331,9.239165896
23-May-16,8.968463696,8.094192225,9.236745663
24-May-16,8.970026501,8.094958252,9.237016382
25-May-16,8.992188094,8.115323612,9.256280765
26-May-16,9.008318431,8.130600867,9.270740969
27-May-16,9.019958014,8.142121489,9.281694055
30-May-16,9.022649627,8.145564133,9.285201989
31-May-16,9.021203242,8.144028754,9.2837293
01-Jun-16,9.022108986,8.144565969,9.284647896
02-Jun-16,9.027128819,8.14959307,9.289368719
